step	slope	intercept	MAE_all_next	MAE_last_5	last_actual	last_pred
[23400]	-2.3847828062291446e-05	3.710200966967297	0.025503374530923613	0.06255183827341537	3.058030531	2.9947661250985536
[23500]	-2.3566208667408247e-05	3.7051447708496847	0.023749719051707693	0.059286181272229	3.058030531	2.9981585108274373
[23600]	-2.1167725423804227e-05	3.651242844470597	0.01758232578852364	0.042312927802818076	3.058030531	3.0162110817564702
[23700]	-1.981533624694105e-05	3.6220165503277717	0.014752079754877844	0.032367054627816215	3.058030531	3.02755646291954
[23800]	-2.159372312791992e-05	3.66148813150901	0.01819235514354842	0.044655872921023486	3.058030531	3.0136764376714127
[23900]	-1.809455521690769e-05	3.5829302458195778	0.012747301539087019	0.022870795632881035	3.058030531	3.040093589312347
[24000]	-2.0592855192436058e-05	3.6388780376894334	0.015888474479595037	0.03769031924705213	3.058030531	3.0210923819163518
[24100]	-2.1831406407119046e-05	3.6674211587212473	0.0186624416616508	0.04574638660912056	3.058030531	3.012478966507676
[24200]	-1.939381950389324e-05	3.610726244013572	0.014801386056585653	0.031413568036373275	3.058030531	3.028911658896775
[24300]	-1.9801291610678556e-05	3.6182244534040056	0.015962668431940732	0.035068014733770525	3.058030531	3.024185705083649
[24400]	-2.0411089432703015e-05	3.631644827413868	0.01750194908732212	0.03955235132250592	3.058030531	3.019312144432778
[24500]	-1.691142743492771e-05	3.5507127851750844	0.012076131391956322	0.020616466993369987	3.058030531	3.043369962127253
[24600]	-1.7859784456062296e-05	3.5741078097245094	0.012559710783793254	0.02436702518450833	3.058030531	3.0383142760426405
[24700]	-2.0147649332591777e-05	3.626672943482759	0.016087066574617632	0.03673958029532791	3.058030531	3.022243463505006
[24800]	-1.9872744453837618e-05	3.6203991500637747	0.015832349991555212	0.035020975260393515	3.058030531	3.024216816448646
